Breed,Months after giving birth,Previous_Mastits_status,IUFL,EUFL,IUFR,EUFR,IURL,EURL,IURR,EURR,Temperature,Hardness,Pain
0,1,0,150,180,150,180,150,181,150,181,43,0,0
0,1,0,152,180,152,185,151,180,152,181,42,0,0
0,1,0,152,182,153,186,151,186,153,183,41,0,0
0,1,0,155,183,155,189,155,182,155,186,40,0,0
0,1,0,150,186,150,181,150,185,150,188,41,0,0
0,1,0,152,182,152,182,150,181,152,181,40,0,0
0,1,0,229,269,229,270,229,270,229,271,40,1,0
0,1,0,234,274,231,274,229,276,235,276,40,1,0
0,1,0,239,275,235,274,230,279,239,277,40,1,0
0,1,0,240,276,230,277,235,279,239,279,40,1,0
0,1,0,241,279,237,279,239,287,241,280,42,1,0
0,1,0,244,280,239,283,244,286,249,281,43,1,0
0,3,0,230,270,230,271,230,271,230,272,40,0,0
0,3,0,235,275,232,275,230,277,236,277,39,0,0
0,3,0,240,276,236,275,231,280,240,278,45,0,0
0,3,0,241,277,231,278,236,280,240,280,44,0,0
0,3,0,242,280,238,280,240,288,242,281,44,0,0
0,3,0,245,281,240,284,245,287,250,282,41,0,0
0,1,0,181,210,181,211,180,211,180,211,42,0,0
0,1,0,182,215,183,215,186,211,185,216,41,0,0
0,1,0,183,210,186,218,182,215,186,214,42,0,0
0,1,0,188,209,188,215,185,210,188,211,40,0,0
0,1,0,183,215,189,217,184,211,190,215,41,0,0
0,1,0,183,210,186,219,186,210,185,215,41,0,0
0,1,0,151,181,151,182,151,180,150,181,40,0,0
0,1,0,159,189,160,191,157,185,153,189,42,0,0
0,1,0,159,190,154,189,161,182,160,188,44,0,0
0,1,0,151,185,152,190,158,187,155,181,45,0,0
0,1,0,153,181,156,190,153,185,152,184,44,0,0
0,1,0,153,183,153,187,161,184,154,185,41,0,0
0,1,0,151,181,151,180,151,182,151,182,42,0,0
0,1,0,159,184,152,186,157,190,156,184,41,0,0
0,1,0,154,184,160,190,153,190,158,182,44,0,0
0,1,0,158,186,154,189,151,188,159,191,45,0,0
0,1,0,151,188,152,189,159,191,159,191,46,0,0
0,1,0,155,187,155,182,152,184,151,184,45,0,0
1,2,0,300,350,151,181,152,183,152,181,44,1,1
1,2,0,303,353,152,181,156,190,153,187,43,1,1
1,2,0,303,360,157,188,155,191,154,182,42,1,1
1,2,0,306,352,156,181,157,193,159,182,41,1,1
1,2,0,303,356,151,189,153,185,162,191,40,1,1
1,2,0,310,359,155,182,154,187,154,186,44,1,1
0,2,0,231,271,231,272,230,271,231,271,41,0,0
0,2,0,231,275,234,274,237,275,235,274,41,0,0
